Time (ns),spi_master_tb.miso
0,x
0,0
10200,1
10400,1
10600,1
10800,1
11000,1
11200,1
11400,1
11600,1
11800,1
12000,1
12200,1
12400,1
12600,1
12800,1
13000,1
13200,1
13400,1
13600,1
13800,1
22000,1
22200,1
22400,1
22600,1
22800,1
23000,1
23200,1
23400,1
23600,1
23800,1
24000,1
24200,1
24400,1
24600,1
24800,1
25000,1
25200,1
25400,1
25600,1
25800,1
34000,1
34200,1
34400,1
34600,1
34800,1
35000,1
35200,1
35400,1
35600,1
35800,1
36000,1
36200,1
36400,1
36600,1
36800,1
37000,1
37200,1
37400,1
37600,1
37800,1
